item_id,image,image_id_ext,result,label,ratio,is_golden,type
1375153252730,http://labelimages.avito.ru/16028356846.jpg,16028356846,9,совмещенный санузел,1.0,0,toloka
1375170002401,http://labelimages.avito.ru/16029739656.jpg,16029739656,1,кухня-гостиная,0.666666666666667,0,toloka
1342634751186,http://labelimages.avito.ru/15209120394.jpg,15209120394,10,коридор / прихожая,1.0,0,toloka
1351692753345,http://labelimages.avito.ru/15233743709.jpg,15233743709,19,комната без мебели,1.0,0,toloka
1356036751042,http://labelimages.avito.ru/15243147894.jpg,15243147894,17,предметы интерьера / быт.техника,0.666666666666667,0,toloka
1344112001959,http://labelimages.avito.ru/15247463998.jpg,15247463998,8,туалет,1.0,0,toloka
1344275753365,http://labelimages.avito.ru/15253681900.jpg,15253681900,11,гардеробная / кладовая / постирочная,0.666666666666667,0,toloka
1348476750660,http://labelimages.avito.ru/15264314884.jpg,15264314884,13,вид из окна / с балкона,0.666666666666667,0,toloka
1356693502852,http://labelimages.avito.ru/15271160498.jpg,15271160498,8,туалет,1.0,0,toloka
1345188751360,http://labelimages.avito.ru/15274676471.jpg,15274676471,8,туалет,1.0,0,toloka
1346378502318,http://labelimages.avito.ru/15297957321.jpg,15297957321,2,универсальная комната,0.666666666666667,0,toloka
1346714002271,http://labelimages.avito.ru/15304836926.jpg,15304836926,12,балкон / лоджия,1.0,0,toloka
1302238500056,http://labelimages.avito.ru/15317022736.jpg,15317022736,16,другое,0.666666666666667,0,toloka
1302246250472,http://labelimages.avito.ru/15319744737.jpg,15319744737,4,спальня,1.0,0,toloka
1366141000677,http://labelimages.avito.ru/15344794017.jpg,15344794017,13,вид из окна / с балкона,1.0,0,toloka
1331684751343,http://labelimages.avito.ru/15353346943.jpg,15353346943,18,не могу дать ответ / не ясно,0.666666666666667,0,toloka
1348853753678,http://labelimages.avito.ru/15356501164.jpg,15356501164,6,детская,1.0,0,toloka
1350714250359,http://labelimages.avito.ru/15357233154.jpg,15357233154,17,предметы интерьера / быт.техника,0.666666666666667,0,toloka
1343549752715,http://labelimages.avito.ru/15378947274.jpg,15378947274,18,не могу дать ответ / не ясно,0.666666666666667,0,toloka
1355075500201,http://labelimages.avito.ru/15381682138.jpg,15381682138,18,не могу дать ответ / не ясно,1.0,0,toloka
1350473751132,http://labelimages.avito.ru/15388963270.jpg,15388963270,3,гостиная,1.0,0,toloka
1355248500926,http://labelimages.avito.ru/15394540789.jpg,15394540789,3,гостиная,0.666666666666667,0,toloka
1335339005212,http://labelimages.avito.ru/15397926020.jpg,15397926020,6,детская,0.666666666666667,0,toloka
1351028751058,http://labelimages.avito.ru/15401783543.jpg,15401783543,0,кухня / столовая,1.0,0,toloka
1364711251149,http://labelimages.avito.ru/15437618957.jpg,15437618957,4,спальня,1.0,0,toloka
1365945503044,http://labelimages.avito.ru/15452747915.jpg,15452747915,12,балкон / лоджия,1.0,0,toloka
1355475251402,http://labelimages.avito.ru/15457881262.jpg,15457881262,10,коридор / прихожая,1.0,0,toloka
